ISO3,Country / Territory,Year,Disaster Internal Displacements (Raw),Hazard Type
IDN,Indonesia,2018,30,Flood
IDN,Indonesia,2018,240,Flood
IDN,Indonesia,2018,37,Flood
IDN,Indonesia,2018,1012,Flood
IDN,Indonesia,2018,123,Flood
VNM,Vietnam,2018,22,Storm
VNM,Vietnam,2018,109,Mass Movement
IDN,Indonesia,2018,200,Flood
IDN,Indonesia,2018,700,Volcanic activity
IDN,Indonesia,2018,70,Storm
VNM,Vietnam,2018,7,Storm
IDN,Indonesia,2018,318,Earthquake
IDN,Indonesia,2018,93,Earthquake
PHL,Philippines,2018,1548,Storm
VNM,Vietnam,2018,36,Mass Movement
VNM,Vietnam,2018,4,Storm
IDN,Indonesia,2018,150,Flood
IDN,Indonesia,2018,11,Flood
PHL,Philippines,2018,14700,Flood
IDN,Indonesia,2018,4,Flood
IDN,Indonesia,2018,2731,Volcanic activity
IDN,Indonesia,2018,34,Flood
IDN,Indonesia,2018,200,Flood
IDN,Indonesia,2018,81,Flood
IDN,Indonesia,2018,322,Storm
IDN,Indonesia,2018,135,Flood
IDN,Indonesia,2018,143,Wildfire
VNM,Vietnam,2018,634,Flood
PHL,Philippines,2018,16584,Flood
IDN,Indonesia,2018,594,Flood
IDN,Indonesia,2018,250,Flood
PHL,Philippines,2018,420,Storm
IDN,Indonesia,2018,370,Flood
VNM,Vietnam,2018,4000,Flood
IDN,Indonesia,2018,28,Storm
IDN,Indonesia,2018,7,Flood
IDN,Indonesia,2018,160,Flood
IDN,Indonesia,2018,136,Storm
IDN,Indonesia,2018,167,Storm
IDN,Indonesia,2018,26,Flood
PHL,Philippines,2018,7746,Storm
VNM,Vietnam,2018,54,Storm
IDN,Indonesia,2018,307,Storm
